dataset,model_type,model,vectorizer,train_accuracy,test_accuracy,train_macro_f1,test_macro_f1,best_model
English,ML,LR,TF-IDF,0.8272,0.7562,0.8191,0.7383,FALSE
English,ML,SVM,TF-IDF,0.789,0.7476,0.778,0.7315,FALSE
English,ML,MNB,TF-IDF,0.7841,0.7129,0.7697,0.6959,FALSE
English,ML,LR,DistilBERT,0.8056,0.7938,0.7926,0.7791,FALSE
English,ML,SVM,DistilBERT,0.873,0.8153,0.8632,0.8016,TRUE
English,ML,GNB,DistilBERT,0.6489,0.659,0.6105,0.6229,FALSE
French,ML,LR,TF-IDF,0.999,0.9701,0.999,0.97,FALSE
French,ML,SVM,TF-IDF,0.9998,0.9798,0.9998,0.9718,TRUE
French,ML,MNB,TF-IDF,0.9884,0.966,0.9883,0.9658,FALSE
French,ML,LR,CamemBERT,0.9365,0.9037,0.9365,0.9033,FALSE
French,ML,SVM,CamemBERT,0.994,0.9178,0.994,0.9175,FALSE
French,ML,GNB,CamemBERT,0.7851,0.7793,0.7833,0.777,FALSE
Arabic,ML,LR,TF-IDF,0.8124,0.7214,0.8127,0.7225,TRUE
Arabic,ML,SVM,TF-IDF,0.8505,0.7175,0.8507,0.7188,FALSE
Arabic,ML,MNB,TF-IDF,0.7712,0.7087,0.7715,0.7088,FALSE
Arabic,ML,LR,AraBERT,0.6744,0.6647,0.6745,0.6655,FALSE
Arabic,ML,SVM,AraBERT,0.8048,0.6803,0.8051,0.6811,FALSE
Arabic,ML,GNB,AraBERT,0.6587,0.6451,0.6594,0.6459,FALSE
English,DL,LSTM,TF-IDF,0.8236,0.7538,0.8129,0.7358,FALSE
English,DL,BiLSTM,TF-IDF,0.8332,0.7591,0.8238,0.7419,FALSE
English,DL,CNN-RNN,TF-IDF,0.8324,0.749,0.823,0.7307,FALSE
English,DL,LSTM,DistilBERT,0.8406,0.8088,0.8308,0.7962,FALSE
English,DL,BiLSTM,DistilBERT,0.8451,0.8121,0.8355,0.7983,TRUE
English,DL,CNN-RNN,DistilBERT,0.8414,0.8086,0.832,0.7956,FALSE
French,DL,LSTM,TF-IDF,0.9995,0.9709,0.9995,0.9708,TRUE
French,DL,BiLSTM,TF-IDF,0.9995,0.9684,0.999,0.9683,FALSE
French,DL,CNN-RNN,TF-IDF,0.9997,0.863,0.9995,0.8626,FALSE
French,DL,LSTM,CamemBERT,0.9099,0.8763,0.9055,0.8763,FALSE
French,DL,BiLSTM,CamemBERT,0.9248,0.902,0.92,0.9013,FALSE
French,DL,CNN-RNN,CamemBERT,0.9815,0.9153,0.9772,0.9149,FALSE
Arabic,DL,LSTM,TF-IDF,0.9379,0.6891,0.9379,0.69,FALSE
Arabic,DL,BiLSTM,TF-IDF,0.9576,0.6871,0.9576,0.6879,FALSE
Arabic,DL,CNN-RNN,TF-IDF,0.9432,0.695,0.9431,0.696,FALSE
Arabic,DL,LSTM,AraBERT,0.6826,0.65,0.6826,0.6514,FALSE
Arabic,DL,BiLSTM,AraBERT,0.6886,0.6451,0.6893,0.6459,FALSE
Arabic,DL,CNN-RNN,AraBERT,0.6915,0.6529,0.6914,0.6532,TRUE
English,LLM,QWEN3.5:4B,None,-,0.69,-,0.6867,FALSE
English,LLM,GEMMA4:E4B,None,-,0.75,-,0.7414,FALSE
English,LLM,MISTRAL:7B,None,-,0.7619,-,0.7582,TRUE
French,LLM,QWEN3.5:4B,None,-,0.94,-,0.9398,FALSE
French,LLM,GEMMA4:E4B,None,-,0.98,-,0.98,TRUE
French,LLM,MISTRAL:7B,None,-,0.8873,-,0.8871,FALSE
Arabic,LLM,QWEN3.5:4B,None,-,0.61,-,0.6128,FALSE
Arabic,LLM,GEMMA4:E4B,None,-,0.6623,-,0.6538,TRUE
Arabic,LLM,MISTRAL:7B,None,-,0.5579,-,0.5393,FALSE
